"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"206","5.20085","4.69931364059448","6.66005846028384E-08"
"207","5.225889","4.64906454086304","6.58993144497799E-08"
"208","5.250928","4.59882497787476","6.59810055481103E-08"
"209","5.275967","4.54859256744385","6.50048761485778E-08"
"210","5.301006","4.49831247329712","6.45689937073257E-08"
"211","5.326045","4.4481086730957","6.37795238844774E-08"
"212","5.351084","4.39786911010742","6.33318819609485E-08"
"213","5.376123","4.3475866317749","6.26821972105063E-08"
"214","5.401162","4.29732799530029","6.26436005290998E-08"
"215","5.426201","4.24713134765625","6.17930169255487E-08"
"216","5.45124","4.1968846321106","6.22895512947252E-08"
"217","5.476279","4.14631843566895","6.07009553732496E-08"
"218","5.501318","4.09605503082275","6.01917164999577E-08"
"219","5.526357","4.04577970504761","6.0275830549017E-08"
"220","5.551396","3.99554967880249","5.92350595240987E-08"
"221","5.576435","3.94534111022949","5.83763615225052E-08"
"222","5.601474","3.89509677886963","5.8407046310549E-08"
"223","5.626513","3.84481430053711","5.79986334514615E-08"
"224","5.651552","3.79464149475098","5.51708225771108E-08"
"225","5.676591","3.74437570571899","5.6173600881948E-08"
"226","5.70163","3.69420528411865","5.66413405067578E-08"
"227","5.726669","3.64386320114136","5.46486873531649E-08"
"228","5.751708","3.59364986419678","5.45411609209623E-08"
"229","5.776748","3.543381690979","5.51673302595646E-08"
"230","5.801786","3.49314212799072","5.20386826963204E-08"
"231","5.826825","3.44287157058716","5.28490566864548E-08"
"232","5.851864","3.39262723922729","5.30374535401279E-08"
"233","5.876903","3.34231853485107","4.99619368099502E-08"
"234","5.901942","3.29209566116333","5.08951067956787E-08"
"235","5.926981","3.24185848236084","4.78706247974969E-08"
"236","5.95202","3.19159269332886","4.75746873007665E-08"
"237","5.977059","3.14139842987061","4.84959485902436E-08"
"238","6.002098","3.09110403060913","4.73392844924092E-08"
"239","6.027137","3.04082155227661","4.74216115264881E-08"
"240","6.052176","2.99062728881836","4.69817038606379E-08"
"241","6.077215","2.94037103652954","4.58518520929374E-08"
"242","6.102254","2.89013385772705","4.44223893225626E-08"
"243","6.127293","2.83993005752563","4.44059971016486E-08"
"244","6.152332","2.789626121521","4.14874925525055E-08"
"245","6.177371","2.73905754089355","4.23950901051739E-08"
"246","6.20241","2.68880128860474","4.30212985236267E-08"
"247","6.227449","2.63852596282959","4.1434361719439E-08"
"248","6.252488","2.58833169937134","4.13838385782128E-08"
"249","6.277527","2.53802061080933","3.99314039611909E-08"
"250","6.302566","2.4879002571106","3.91316667958108E-08"
"251","6.327605","2.43764638900757","3.93295884748568E-08"
"252","6.352644","2.38734722137451","3.84231348959929E-08"
"253","6.377683","2.33711242675781","3.6913217371648E-08"
"254","6.402722","2.28684186935425","3.70027670726358E-08"
"255","6.427762","2.23662853240967","3.60273588739801E-08"
"256","6.452801","2.18636512756348","3.52244491352849E-08"
"257","6.47784","2.13610887527466","3.49583615388838E-08"
"258","6.502879","2.08584547042847","3.31574341316809E-08"
"259","6.527918","2.03556060791016","3.25926308164526E-08"
"260","6.552957","1.98514080047607","3.37236762959492E-08"
"261","6.577996","1.93485951423645","3.29677689592245E-08"
"262","6.603035","1.88462042808533","3.42319239621247E-08"
"263","6.628074","1.83437871932983","3.10572865203085E-08"
"264","6.653113","1.78413414955139","3.19704653861663E-08"
"265","6.678152","1.73385524749756","2.93231856574039E-08"
"266","6.703191","1.68361210823059","2.94697048985881E-08"
"267","6.72823","1.633376121521","2.91522859185989E-08"
"268","6.753269","1.58309555053711","2.95888664680888E-08"
"269","6.778308","1.53285217285156","2.7868759744365E-08"
"270","6.803347","1.48260760307312","2.77750018540246E-08"
"271","6.828387","1.432368516922","2.83493761799036E-08"
"272","6.853426","1.38208270072937","2.50468730200737E-08"
"273","6.878466","1.3318247795105","2.64398227756146E-08"
"274","6.903505","1.28159856796265","2.41774440468134E-08"
"275","6.928544","1.23131608963013","2.52688288071568E-08"
"276","6.953583","1.18107151985168","2.28266472390715E-08"
"277","6.978622","1.13083124160767","2.1589505294628E-08"
"278","7.003661","1.08058500289917","2.09600568013002E-08"
"279","7.0287","1.0303065776825","2.09130046613382E-08"
"280","7.053739","0.980055809020996","1.9951427177034E-08"
"281","7.078778","0.929812669754028","1.93813320947811E-08"
"282","7.103817","0.879523754119873","1.90163849111968E-08"
"283","7.128856","0.829289436340332","1.8628371734053E-08"
"284","7.153895","0.779037714004517","1.87699438214395E-08"
"285","7.178935","0.72879695892334","1.62871724995739E-08"
"286","7.203974","0.67851448059082","1.59171698044247E-08"
"287","7.229013","0.628267765045166","1.66239981780336E-08"
"288","7.254052","0.578015804290771","1.38642191060967E-08"
"289","7.279091","0.527738809585571","1.63479807469002E-08"
"290","7.30413","0.477476358413696","1.32463693347518E-08"
"291","7.329169","0.427236795425415","1.32629516258476E-08"
"292","7.354208","0.376977682113647","1.11994982177066E-08"
"293","7.379247","0.326698064804077","1.11448050787999E-08"
"294","7.404286","0.276440858840942","9.82568248986126E-09"
"295","7.429325","0.22619104385376","9.95579974016891E-09"
"296","7.454364","0.175932630896568","9.00104080159281E-09"
"297","7.479403","0.125668838620186","1.027340879034E-08"
"298","7.504442","0.0754158049821854","7.91090748464285E-09"
"299","7.529481","0.0251595508307219","7.30972304907596E-09"
"300","7.55452","-0.0248997937887907","6.13949291405902E-09"
"301","7.579559","-0.0751589760184288","7.02427627174984E-09"
"302","7.604598","-0.125419214367867","4.08787714789582E-09"
"303","7.629637","-0.175666257739067","7.28708515751464E-09"
"304","7.654676","-0.225914001464844","5.09779463087057E-09"
"305","7.679715","-0.276195049285889","4.87867612974924E-09"
"306","7.704754","-0.326437950134277","2.6488782278733E-09"
"307","7.729794","-0.376705884933472","3.65620844711145E-09"
